category,text
politics,Ռիտա Սարգսյանին իր նվիրած երգը Մհեր Արմենիան հիմա էլ Աննա Հակոբյանին եւ բոլոր առաջին տիկիններին է նվիրում
politics,"Քվեարկության օրը դիտարկված էական խախտումների վերաբերյալ «Ականատես»-ը դիմում-բողոքներ է ներկայացրել ընտրական հանձնաժողովներին, առանձին դեպքերով նախապատրաստվում են նաև հաղորդումներ իրավապահ մարմիններին"
politics,Քննարկել են Հայաստանի և Լատվիայի միջև զարգացող քաղաքական երկխոսությանը զուգահեռ տնտեսական և այլ ոլորտներում ծրագրերի իրականացման հարցեր
politics,"«Ախուրյանում իշխանությունը հանձնվեց, կասեի՝ վաճառվեց ՔՊ-ին, չկանչեի՞ք, ասեիք, տո գետինը մտնիք»․ ճանաչված ֆերմերը՝ Ռոբերտ Քոչարյանին"
politics,"ԱՄՆ-ն պարտվում է Իրանին, աշխարհն արդեն բազմաբեւեռ է"
politics,"«Մեր երկրի գլխավոր հարցը ներքին խնդիրները լուծելն է, մեր երկրի ուժն ամրապնդելը։ Իսկ երկրի ուժն ամրապնդելու համար մեզ շատ կարևոր է՝ չունենալ վատ հարաբերություններ տարածաշրջանային մեծ երկրների հետ». Նարեկ Կարապետյան"
politics,"Կայա Կալասի եւ Հաքան Ֆիդանի հայտարարությունները միջամտություն չեն, աջակցություն են․ Արարատ Միրզոյան"
politics,Հայաստանում երկաթուղային հատվածների վերականգնումը ՌԴ-ի համար ելք կապահովի դեպի ծով. Օվերչուկ
politics,«ԵՄ-ն պատրաստ է ՀՀ-ին տարեկան մեծ գումարներ տրամադրել ՌԴ-ի տարվող տնտեսական սահմանափակումների հետեւանքները մեղմելու համար»
politics,"MediaNews-ի «հանրային կարծիքը», կեղծ դեմքերն ու Տարոն Չախոյանի հետ հնարավոր կապը. CivilNetCheck"
politics,Գագիկ Ծառուկյանը ընտրություններին կմասնակցի «Առաջարկ Հայաստանին» ծրագրով
politics,ՌԴ-ում մարդու իրավունքների վիճակի վերաբերյալ դիմել ենք ՄԱԿ-ի հատուկ զեկուցողին՝ Արթուր Տերչանյանի և ևս 7 դատապարտյալների գործով. Լուչիանա Մինասյան
politics,Աբովյանում ՔՊ հանրահավաքում 20:28-ի դրությամբ գտնվել է շուրջ 3700 մարդ. ԻՔՄ
politics,"«Եվրոպական միությունը աջակցում է նախաձեռնություններին, որոնք նպաստում են ակտիվ և կենսունակ քաղաքացիական հասարակության ձևավորմանը»"
politics,ԱԳՆ-ում վերահաստատել են Մեքսիկայի հետ հարաբերությունները խորացնելու հարցում հայկական կողմի շահագրգռվածությունը
politics,"Նյու Յորքի քաղաքապետը միաժամանակ նշել է, որ նույն ցեղասպան քաղաքականության շարունակություն էր նաև Լեռնային Ղարաբաղի ժողովրդի վտարումն այնտեղից. Մեսրոպ Առաքելյան"
politics,"ՀՀ-ում հիմա է, որ 90 տոկոս հայ է, նախկինում երբեք 90 տոկոսը հայություն չի եղել. Փաշինյանը Սպիտակում ադրբեջանական նարատիվները ներկայացնում է որպես պատմություն"
politics,"Իշխանությունը փորձում է այս թեմայի վրա «բենզին լցնելով» պասիվացնել, օրակարգից դուրս հրել նախընտրական փուլում իր գործադրած վարչական ռեսուրսի, ապօրինի կալանավորումների և խայտառակ ընտրությունների փաստը. Տիգրան Աբրահամյան"
politics,Մեր տղաներն ամենաթանկ զոհողության գնով խաղաղություն են բերել Հայաստանին. Դավիթ Առուշանյան
politics,"Դատական հայցեր են ներկայացվելու բոլոր այն ՔՊ-ականների դեմ, որոնք հասցրեցին ապատեղեկատվություն տարածել. Մարիաննա Ղահրամանյան"
politics,Խուդաթյանը և դեսպան Կոպիրկինը քննարկել են ՀԱԷԿ-ի 2-րդ էներգաբլոկի շահագործման ժամկետի երկարաձգման աշխատանքների վերաբերյալ հարցեր
politics,«Այս պահին Հայաստանի և Ադրբեջանի միջև պատերազմի հավանականությունը փոքր է»․ Վաղարշակ Հարությունյան
politics,«Հարեւան երկրի նախագահն ուղղակի ծիծաղեց «խաղաղության խաչմերուկի» վրա՝ ասելով՝ հիմա մենք ունենք ԹՐԻՓՓ»․ Բագրատ Եսայան
politics,300 հազար ադրբեջանցիների թեզը հիբրիդային գրոհ է ՀՀ-ի վրա․ Սուրեն Պապիկյան
politics,Լուծել տնտեսական խնդիրները՝ սա՛ է Հայաստանի զարգացման բանալին. Աշոտ Մարկոսյան
politics,"«Ստեղ ուրիշ ենթատեքստ կա, ինչ-որ պաշտոնական ներկայացուցիչների հետ են հանդիպում ուզում, որը մեր համար հասկանալի չէ»․ Թորոսյանը՝ Արցախի իշխանությունների հետ հանդիպման մասին"
politics,«Սա հիբրիդային պատերազմի մաս է»․ Արտաշես Իկոնոմովը՝ «Անկախության մեր ճանապարհը» ֆիլմի ցուցադրությունը Հ1-ով եւ այլուր արգելելու մասին
politics,«Մեզ անհրաժեշտ է հոգ տանել Հարավային Կովկասի մասին». Նիկոլ Փաշինյան
politics,"Հիմա Փաշինյանն ինքն է փաստում, որ գրեթե երկու տարի գործող ծրագրից օգտվել է միայն 1,700 ընտանիք, որը նախատեսված ընդհանուր թվի մոտ 7%-ն է. Արտակ Բեգլարյան"
politics,«Սա «ՍՄՍ»-ով հրահանգներ տալուց հետո ապօրինի հրահանգներ իջեցնելու արդեն նոր մակարդակ է». «Մայր Հայաստան» կուսակցություն
politics,Հայաստանը կարող է կամուրջ եւ միջնորդ դառնալ Եվրամիության եւ Վրաստանի միջեւ. Հովսեփ Խուրշուդյան
politics,"Երբ պարտության խորհրդանիշը երկրի ղեկավար է, երբեք այդ երկիրը չի կարող անվտանգ լինել. Ռոբերտ Քոչարյան"
politics,Ընտրվել են Տեղեկատվական համակարգերի կարգավորման հանձնաժողովի նախագահը եւ անդամները
politics,"«Նիկոլ Փաշինյանի վերընտրվելու դեպքում Ադրբեջանն իր ուզածին հասնելու է առանց պատերազմի, տրամաբանությունը ո՞րն է, որ Փաշինյանը վերընտրվի»"
politics,"Գագիկ Մինասյան. «Սրանք իրենց քաղաքական հակառակորդների նկատմամբ արտակարգ ցինիկ, սանձարձակ ու սադիստական վարքագիծ են դրսեւորում»"
politics,"«Եթե ՀՀ իշխանության կողմից տեսած լինեմ անգործություն, ես ինքս առաջին հերթին դրա վերաբերյալ հրապարակային հանդես կգամ»․ ՄԻՊ-ը՝ գերիների հարցի մասին"
politics,Հայաստանի յուրաքանչյուր քաղաքացու՝ ընտրություններից առաջ անհրաժեշտ է համախմբվածություն և փողոցային պայքար. Արտակ Զաքարյան
politics,Հաջիևը կրկին անդրադարձել է «Զանգեզուրի միջանցքին»
politics,Արցախի պատվիրակությունը Շվեյցարիայում քննարկել է հայ գերիների վերադարձի և արցախցիների իրավունքների պաշտպանության հարցերը
politics,Իր վտանգավոր համեմատություններով Փաշինյանն օժանդակում է Ալիևին՝ հորինել գոյություն չունեցող պատմություն մեր հաշվին
politics,"«Այն, որ մենք այսօր այստեղ ենք, հստակ ցույց է տալիս ՀՀ-ի աշխարհաքաղաքական ուղին»․ Անտոնիու Կոշտա"
politics,Մաքսիմ Լոնգանգեն և Վահագն Հովակիմյանը քննարկել են ԿԸՀ-ի և Եվրոպայի խորհրդի գործակցությունը
politics,"«էդ սաղ մի հատ հայրենիք չարժի, հա՞, որ աչքիս առաջ փոքրանում է»․ քաղաքացին Փաշինյանին, որն ասում էր՝ խաղաղություն է, թոշակները բարձրացել են և այլն"
politics,Ճակատագրի հեգնանք է՝ ով ում է դատում. Աշոտ Ղուլյան
politics,"«Չեմ ափսոսում, Հայաստանը ծայրագավառ չի լինելու, Բելառուսի կառավարման օրինակն իմ ու իմ երկրի համար անընդունելի է». Ալեն Սիմոնյան"
politics,ՀՀ բոլոր բնակավայրերում պետք է լինի շուրջօրյա խմելու ջուր. սա մեր հաջորդ ռազմավարական խնդիրն է. Փաշինյան
politics,«Ավելի լավ բան առաջարկեմ վարչապետին՝ կառավարության առանձնատունը նվիրենք պատերազմում վիրավորում ստացած հերոսներին»․ Ծառուկյանի պատասխանը՝ Փաշինյանին
politics,"Նարեկ Կարապետյան. «Մեծ բիզնեսի և տարբեր տնտեսական ծրագրերի հաշվին՝ բյուջեն տասնյակ տոկոսներով ավելանալու է, և չի լինելու փոքր բիզնեսին հարկելու կարիքը»"
politics,Նիկոլ Փաշինյանը ցավակցական հեռագիր է հղել Իսպանիայի վարչապետին
politics,Փա՛ռք և պատի՛վ Հայոց բանակի ստեղծման ակունքներում կանգնած ու բանակի փառապանծ ուղին կերտած բոլոր նվիրյալներին. Սերժ Սարգսյան
politics,"Թե ինչպես պետք է կառուցի Իրանն իր ներքին կյանքը, դա միայն ու միայն Իրանի ժողովրդի որոշելիք հարցն է և ոչ թե արտաքին ուժերի. Վազգեն Մանուկյան"
politics,17:00-ի դրությամբ ԱԺ ընտրություններին մասնակցել է ընտրական իրավունք ունեցող քաղաքացիների 48.92%-ը
politics,"«Տիկին նախարար, Ձեր ուշադրությունից մի քանի րոպե հատկացրեք ինձ, էլի»․ անհետ կորածների մասին խոսելիս Արթուր Խաչատրյանը՝ իրեն չլսող Սրբուհի Գալյանին"
politics,Կրթությունը հաղթանակ է. Բագրատ Սրբազան
politics,"«Նիկոլ Փաշինյանի հետ երբեք երկու բառ փոխանակած չկամ, բավարար չափով չեմ ճանաչում․ Սերժ Սարգսյանը՝ Փաշինյանի՝ անցնցում իշխանությունը հանձնելուն վերաբերող հարցին"
politics,Սարգիս Խանդանյանը կարեւորել է ընտրական գործընթացում ԵԱՀԿ ԽՎ դիտորդական առաքելության այցը Հայաստան
politics,Փաշինյանը և վարչապետ Բարտ դե Վևերը մասնակցել են ՀՀ-ում Բելգիայի դեսպանատան բացման արարողությանը
politics,«Հայաստանի ամերիկյան համալսարանը դասերն այսօր հեռավար է անցկացնելու՝ Արևմտյան Ասիայի ամերիկյան համալսարանները թիրախավորելու մասին ԻՀՊԿ սպառնալիքից հետո»
politics,«Խնդիրը ձևն ընտրելը չէ. խնդիրը հստակ ռազմավարություն ունենալն է». Սերժ Սարգսյան
politics,Ամեն մարդ աշխարհը չափում է իր պատկերացումներով ու իր կենսակերպի սահմաններում․ Դավիթ Անանյանը՝ Վահագն Ալեքսանյանին
politics,"Մի քիչ քեզ տղու պես պահի էլի, ամոթ է. Արման Թաթոյանը՝ Նիկոլ Փաշինյանին"
politics,"Իվետա Տոնոյան․ Տարօրինակ է այն ցայտնոտային վիճակը, որն իշխանությունների մոտ առաջանում է Գյումրի-2-ի դեպքում․ «Ա1+»"
politics,Քննարկվել են համայնքային ծառայությունների մատուցման արդյունավետության բարձրացմանն ուղղված քայլերը
politics,Արարատ Միրզոյանը և Ժան-Նոել Բարոն ծիրանենի են տնկել՝ ի նշան Հայաստանի և Ֆրանսիայի միջև հարատև բարեկամության
politics,"Շուրջ մեկ տարի անօրինակ շրջափակման արդյունքում հյուծված, լայնածավալ պատերազմի զոհ դարձած արցախցիների բռնագաղթը, ցավոք, հրամցվում է իբրև «փախուստ». Գևորգ Դանիելյան"
politics,Սամվելը ժայռի ամրություն է ցուցաբերել. Ռոբերտ Ամստերդամ
politics,Ավելի քան 4 տարիների ընթացքում ընդդիմադիր խմբակցությունների և խմբակցություններում չընդգրկված պատգամավորների ներկայացրած գրեթե բոլոր նախաձեռնությունները մերժվել են. «Հետք»
politics,Շրջակա միջավայրի արդյունավետ պահպանությունը պահանջում է ամուր քրեական արդարադատության համակարգեր. Պարույր Հովհաննիսյան
politics,Ֆրանսիան աջակցում է Հայաստան-Ադրբեջան և Հայաստան-Թուրքիա հարաբերությունների կարգավորմանը. Բարո
politics,"«Գործ ունենք հերթական արշավանքի հետ, որը կազմակերպել է բռնապետը՝ իր չակերտավոր ընտրությունը լեգիտիմացնելու փորձի շրջանակներում»․ Արծվիկ Մինասյան"
politics,"«Ես տասը տարի նախագահության ժամանակ երբեք հակաթուրքական հայտարարություն չեմ արել, եւ ոչ մի նախագահ այդպիսի բան չի արել»․ Քոչարյանը հիշեցրեց Փաշինյանի հակաթուրքական հայտարարությունները"
politics,"Խոսեք բանակից, հզորացումից և դրանց վերաբերյալ ձեր ծրագրերից, հարգելի ընդդիմադիրներ, և պայքարեք հենց չկողմնորոշված մեր քաղաքացիների վստահությունը շահելու ուղղությամբ. Տաթևիկ Հայրապետյան"
politics,Կոսովոյի վարչապետը կիսվել է Սերգեյ Փարաջանովի թանգարան այցի իր տպավորություններով
politics,"Նման փոխշահավետ և պետական շահը լիարժեք պաշտպանող պայմանագիր Հայաստանը երբևէ չի ունեցել․ ո՛չ երկաթուղու հանձնման, ոչ օդանավակայանի, ո՛չ «Վեոլիա»-ի, ո՛չ «Գազպրոմ Արմենիա»-ի, ո՛չ էլ ՀԷՑ-ի դեպքում. Սիսակ Գաբրիելյան"
politics,Ֆրանչայզինգի ասոցիացիայի ներկայացուցիչների հետ դեսպան Մկրտչյանը քննարկել է մի շարք բրենդների՝ հայկական շուկայում ներկայացվածության ապահովման հնարավորությունները
politics,Իր աւարտին հասաւ համազգային նպատակներու շուրջ սփիւռքի զօրաշարժին եւ վերաշխուժացման նուիրուած խորհրդաժողովը
politics,Արման Թաթոյանը ԵՄ դեսպանին նոր հաղորդում կներկայացնի՝ ԱԺ ընտություններին ադրբեջանական նոր միջամտության մասին
politics,"Մեր երկիրը միշտ պետք է ունենա վարչապետ, բայց այդ վարչապետը երրորդ անգամ նույն մարդը չպետք է լինի. Կարապետյան"
politics,"«Կիրակի օրվա համար դեպի Լառնակա 2 եվրոյով տոմս կա, մեր բարձրացրած թոշակով թոշակառուն կարա 5 հատ տուդա-աբրատնի տոմս առնի»"
politics,Ըստ Միլլի Մեջլիսի իբր «հայամետ շրջանակները փորձում են խաթարել Հարավային Կովկասում փխրուն խաղաղությունը՝ ապատեղեկատվության միջոցով». Տաթևիկ Հայրապետյան
politics,«Աղքատ ընտանիքները զրո դրամ են վճարելու էլեկտրաէներգիայի և ջրի համար»․ Նարեկ Կարապետյանը՝ «Ուժեղ Հայաստան»-ի նոր ծրագրի մասին
politics,«Եթե բոլոր դիակները լինեն մեզ նման առույգ եւ կայտառ՝ Նիկոլ Փաշինյանին չեմ նախանձում»․ Արմեն Աշոտյան
politics,"Հայտարարությունները, թե ՀԿԵ-ի կողմից հայկական երկաթուղիների կոնցեսիոն կառավարումը մրցակցային կորուստներ է ստեղծում ՀՀ-ի համար, առնվազն տարօրինակ են թվում. Ալեքսեյ Շևցով"
politics,"«Վաղարշապատի ավագանու ընտրություններին արձանագրվել են խախտումներ, որոնք, չնայած էական ազդեցություն չեն ունեցել արդյունքների վրա, սակայն չհասցեագրվելու դեպքում կարող են ստվերել ընտրությունների բարեվարքությունը»"
politics,"«Կարա՞ եկեղեցիները նվիրի այս թեմին, մանավանդ, որ հնչում են, չէ՞, առաջարկներ՝ Աթոռը Ռուսաստան տեղափոխելու»․ Թագուհի Ղազարյանի նախագիծը՝ ՀԱԵ-ի դեմ"
politics,"«Ես երեկ մտածում էի՝ առավոտյան, որ պետք է առաջին նորությունը լսեմ, Ալեն Սիմոնյանի հրաժարականի դիմումն է լինելու։ Բայց, ցավոք, դա չկա». Ռուզան Ստեփանյան"
politics,Թուրքիայի գլխավոր ընդդիմադիր ուժը հայտնվել է կառավարման ճգնաժամի մեջ
politics,Մենք չենք պատրաստվում թռչել մի բևեռից մյուսը. Ալեն Սիմոնյան
politics,"«Եթե շարունակեցին ձերբակալությունները, կարող է մինչև ընտրություններ չհասնեն․ ժողովրդի համբերության բաժակը լցվի, դուրս գան, ցույց տան իրենց տեղը»․ Իշխան Սաղաթելյան"
politics,"«Պարոն Փաշինյանը թող ասի՝ ի՞նչ սահմաններով է Ադրբեջանը հռչակել իր անկախությունը, ո՞ր իրավական փաստաթղթով է հաստատել իր իրավունքները ԼՂ նկատմամբ»"
politics,"Ժամանակ առ ժամանակ փորձ է արվում տպավորություն ստեղծել, թե Կառավարությունն արտոնյալների ինչ–որ նեղ շրջանակի պարբերաբար ազատում է մաքսատուրքից. Փաշինյան"
politics,Սարգիս Խանդանյանը՝ Հունգարիայում կայանալիք ընտրությունների միջազգային դիտորդական առաքելության ղեկավար
politics,«Կամ-կամ»-ի պահանջը դրել է Մոսկվան
politics,ԱՊՀ ՄԽՎ-ն հրավեր է ստացել դիտարկելու Հայաստանի խորհրդարանական ընտրությունները
politics,ՀՅԴ-ն միջազգային հանրությանը կոչ է անում նպատակային միջոցներ կիրառել՝ ոչնչացման համար պատասխանատվություն ապահովելու նպատակով
politics,Ինչի՞ դիմաց է գործարար Նարեկ Նալբանդյանը վճարել Հովիկ Աբրահամյանի 25 միլիոն դրամի չափով գրավը
politics,Կայացել է Վաշինգտոնի խաղաղության գագաթնաժողովի պայմանավորվածությունների իրականացման ՀՀ-ԱՄՆ աշխատանքային խմբի երրորդ հանդիպումը
politics,"«Չարիքը, որին մարմնավորում է այս իշխանությունը, կպարտվի»․ Ռոբերտ Քոչարյան"
